pathway,F5_vs_OT1_immature_padj,F5_vs_OT1_immature_NES,F5_vs_TG6_immature_padj,F5_vs_TG6_immature_NES,OT1_vs_TG6_immature_padj,OT1_vs_TG6_immature_NES,F5_vs_OT1_semimature_padj,F5_vs_OT1_semimature_NES,F5_vs_TG6_semimature_padj,F5_vs_TG6_semimature_NES,F5_vs_CD8_polyclonal_semimature_padj,F5_vs_CD8_polyclonal_semimature_NES,OT1_vs_TG6_semimature_padj,OT1_vs_TG6_semimature_NES,OT1_vs_CD8_polyclonal_semimature_padj,OT1_vs_CD8_polyclonal_semimature_NES,TG6_vs_CD8_polyclonal_semimature_padj,TG6_vs_CD8_polyclonal_semimature_NES,F5_vs_OT1_mature_padj,F5_vs_OT1_mature_NES,F5_vs_TG6_mature_padj,F5_vs_TG6_mature_NES,F5_vs_CD8_polyclonal_mature_padj,F5_vs_CD8_polyclonal_mature_NES,OT1_vs_TG6_mature_padj,OT1_vs_TG6_mature_NES,OT1_vs_CD8_polyclonal_mature_padj,OT1_vs_CD8_polyclonal_mature_NES,TG6_vs_CD8_polyclonal_mature_padj,TG6_vs_CD8_polyclonal_mature_NES
GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_UP,0.021497405485544845,2.215983367639514,0.01780090173697633,-2.0913398569931494,0.015164673035082314,-2.520750191075966,0.017788293024886083,2.1950611118587164,0.014128496237330897,1.838639955281273,0.016704209995782805,1.4865314484430763,0.018843842101598944,-1.6774324117176125,0.015719475759355218,-1.5826282586575677,0.2063415873732953,-1.1838414202319638,0.014100078140827137,1.713683784241926,0.280278716731546,1.1425346367890559,0.01859400045798031,1.4388456387577044,0.010058717141936922,-1.5857402407116936,0.31933808106921613,1.1188745036280447,0.04195611486835609,1.3459612608503593
GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN,0.021497405485544845,2.1861512617273644,0.13353972304731623,-1.2626028715869064,0.015008548588327711,-2.1279336210768083,0.017241867444296594,1.8836064116051292,0.021148128052088985,1.6215882873619396,0.012275348771583275,1.6839674049148654,0.04991840475711444,-1.4334085614892604,0.5592218608280476,1.000119662187279,0.058270077183134525,1.375609818137775,0.01323452712100139,2.3119326306680916,0.02430640437834575,2.2260167558858215,0.017662733155690905,2.378459388620719,0.010058717141936922,-1.5940996726899643,0.18525387198636659,1.2169002741855013,0.017758208432962035,1.7171765817067521
GSE21033_1H_VS_24H_POLYIC_STIM_DC_UP,0.021497405485544845,2.1579793149278523,0.01780090173697633,-3.012043109410912,0.015164673035082314,-2.9509541563379154,0.017529467639566514,2.227217509691914,0.021148128052088985,1.6597171288088217,0.05476508773831461,-1.357972450243243,0.018843842101598944,-2.0516944470634453,0.015719475759355218,-2.248728938046548,0.009137370005345136,-1.632056573747406,0.014083041381941797,1.94686906006264,0.02430640437834575,1.6416503217130187,0.01859400045798031,2.2590044553492157,0.010058717141936922,-1.6795497673712956,0.027503876435786653,1.806719935067026,0.017758208432962035,2.2216364757684453
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP,0.021497405485544845,2.083064972688705,0.01780090173697633,-1.6614934155600805,0.015164673035082314,-2.067339622745488,0.017788293024886083,1.691213033282993,0.014128496237330897,1.7134886642198695,0.01116816431322208,-2.17707782572364,0.48104717752931553,1.0519159060292842,0.015719475759355218,-2.5475330774033744,0.009137370005345136,-2.578636391786812,0.49011934011934016,-1.0102478774774941,0.6934201012292118,0.9513885696931564,0.20689404142248752,1.1304364453360487,0.11942481111381917,1.2779721320438238,0.1975291480599816,1.1756305957868853,0.7335543090260072,0.9525378134995222
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_DN,0.021717230250782302,2.060450215524009,0.01780090173697633,-1.8492099715498127,0.015601882985877608,-2.228494078177491,0.017788293024886083,1.98641785165968,0.15808720538465615,1.2570940132822888,0.016704209995782805,1.813662278050935,0.018843842101598944,-1.8645421494469154,0.7093665768194071,0.9311216091126401,0.010598677340758788,1.6629278107267265,0.014100078140827137,2.319617826094782,0.02430640437834575,1.5454238139380738,0.01859400045798031,2.174810105265271,0.010058717141936922,-2.1165169226189624,0.17426139208813218,1.2179379806370367,0.017758208432962035,2.1855519719715466
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TREG_CD4_TCELL_DN,0.021118243960797742,2.0120421828718515,0.028014490253579435,-1.5154942670591627,0.014903457895896042,-1.961958274999329,0.017075863519268177,2.1579207137930667,0.014128496237330897,1.8682505556855138,0.012275348771583275,1.6926301182826582,0.028545648429169058,-1.5397608353890517,0.327828995820726,-1.1308130364855806,0.2659275242424501,1.1361179652173534,0.01323452712100139,2.344595099548205,0.02430640437834575,2.2756093863966296,0.01727218582489577,2.0580544476858145,0.01704450041981528,-1.5307437768975856,0.6930461093557543,0.9500515565650841,0.14502432767401457,1.2322334205325793
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_UP,0.021497405485544845,1.9985357258684586,0.056822456066689404,1.3952624894293528,0.015164673035082314,-1.5094842743405952,0.3547740198280327,-1.0978214767410228,0.1758632532226642,1.2515189867291794,0.016704209995782805,1.5508114788785425,0.4763370364905032,1.0497975551684324,0.034438579408599394,1.4437762369029818,0.010598677340758788,1.440657666825186,0.014100078140827137,1.6241475445250875,0.07608695652173914,1.3774148014051926,0.01859400045798031,1.538230216925367,0.010058717141936922,-1.4732259144323037,0.16293981356754134,1.20114932316091,0.017758208432962035,1.5047723197035952
GSE9601_UNTREATED_VS_NFKB_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP,0.021497405485544845,1.9257076449683628,0.20489551743526874,1.2184549392279727,0.015164673035082314,-1.5243399621527283,0.27024033923494256,-1.1555503903641897,0.17242111521637576,-1.2876809061208458,0.16520429544264012,-1.2156618728664141,0.6252609613566562,0.9622854101781136,0.12770016398991216,-1.302158768458368,0.41456219967965824,-1.0630653649210982,0.15864252247688995,-1.2369428931634199,0.027135258570274857,-1.5422980949967569,0.15821263882574527,-1.2330925576799336,0.06393374499697449,-1.3172267439835137,0.3783917198817942,-1.1274968690764189,0.84886458442405055,-0.8396755826870597
GSE13229_IMM_VS_INTMATURE_NKCELL_DN,0.021497405485544845,1.923829228979959,0.0775549188156638,-1.321620419781062,0.015164673035082314,-1.8877316449507568,0.017713529471648174,1.8143681443097053,0.07917106161196252,1.355665229642004,0.016704209995782805,1.7039366101597164,0.018843842101598944,-1.5195429961191909,0.3346153846153846,1.1031383565315271,0.010598677340758788,1.5368045160413117,0.014083041381941797,1.7668839530821185,0.02430640437834575,1.5328684674213822,0.05349951271738982,1.3660718552219933,0.01771108251357777,-1.4354085733816395,0.6560375706439544,-0.9600011538672067,0.36024241612535995,1.0668286860783271
GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP,0.021497405485544845,1.8989099006077543,0.3069706556125231,1.1464183331633568,0.015164673035082314,-1.615848454045911,0.017713529471648174,1.8495021666235727,0.014128496237330897,2.0105575331036296,0.23202704508556787,-1.1503374034272082,0.15908762812184207,-1.182102327313043,0.015719475759355218,-1.9472201601173467,0.009137370005345136,-1.8714375519433015,0.023864396152894755,1.4770623748439484,0.02430640437834575,1.8100967813332303,0.030964592827044446,1.4252197540767124,0.6562078861712178,0.9502463427894835,0.5111214149216449,1.0319799034869674,0.9165380074470983,-0.8071718772595566
