Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gpr84,0.8650101068662097,2.9839530411155337,3.481200582959848,0.8571620537241392,0.3913553305488501,NA
Efemp1,0.3541229612042527,2.983055357655241,4.248961717039247,0.7020668945292093,0.48263744679657583,NA
Fzd2,0.3541229612042527,2.983055357655241,4.248961717039247,0.7020668945292093,0.48263744679657583,NA
Myoz2,0.3541229612042527,2.983055357655241,4.248961717039247,0.7020668945292093,0.48263744679657583,NA
Bnc2,0.3541229612042527,2.983055357655241,4.248961717039247,0.7020668945292093,0.48263744679657583,NA
Lypd5,0.3541229612042527,2.983055357655241,4.248961717039247,0.7020668945292093,0.48263744679657583,NA
Rnf222,0.4219105251166567,2.9830553576505947,4.24896171703751,0.7020668945284028,0.4826374467970789,NA
Slc7a2,0.47864742622699685,2.98305447764447,4.248961340268158,0.7020667496720987,0.48263753713000096,NA
Gpc6,1.0609004049819137,2.9817104916600132,3.7234967422806657,0.8007823554140392,0.42325765552553746,NA
Oxct2b,0.6087255321650631,2.9695589901586095,4.2493623012620905,0.698824618761415,0.4846616411595374,NA
Mtag2,2.950922267357583,2.966313532635846,1.6655703773088315,1.7809595878072162,0.07491905289147213,NA
4933407G14Rik,1.2862381986489386,2.9575266320569216,2.171375991168575,1.3620518252415887,0.17318153019830543,NA
BC037156,0.8737100083145989,2.9553740930671215,4.249787335818496,0.6954169372566793,0.48679404916145164,NA
Pcolce2,1.7893831179702147,2.948091402365874,2.3868632859353323,1.2351320746930068,0.21678135387608938,NA
Raet1a,0.5262034209165349,2.9462543358754814,3.707010997391404,0.7947789574804981,0.42674209344207736,NA
Pkd2,1.2906637016132372,2.946022803478289,2.74812291781766,1.0720127489121867,0.28371430591892305,NA
Trim31,0.47996314482531827,2.9449852782111456,4.250101257450403,0.6929212034768827,0.48835900240910546,NA
Mc5r,0.34438801700051014,2.9449849707465288,4.250101266778207,0.6929211296132191,0.4883590487655251,NA
Dntt,278.2390058148567,2.939474667687381,0.2903799187123232,10.1228579466595,4.374520709330145e-24,3.827158805575211e-21
Lrrc3b,35.017678898820016,2.932653481242049,0.5703091298612523,5.142217312837899,2.7151479589937276e-7,1.0766753861188158e-5
Gm5535,0.34073588014687084,2.9306661771750564,4.250537621938197,0.6894812933895891,0.4905204412729258,NA
Epha8,1.4210537087167308,2.9297737529256214,3.176118378088186,0.9224384623501194,0.3562999151481799,NA
Asb4,1.0237407339037898,2.9262589651518285,3.0045203315767153,0.9739521262005184,0.33008031012847244,NA
